ticker,earliest_date,latest_date,rows,status,duplicates_removed
META,2012-05-18,2026-09-11,3599,updated,0
GOOGL,2004-08-19,2026-09-11,5551,updated,0
AMZN,1997-05-15,2026-09-11,7377,updated,0
NVDA,1999-01-22,2026-09-11,6952,updated,0
ADBE,1986-08-13,2026-09-11,10096,updated,0
ORCL,1986-03-12,2026-09-11,10204,updated,0
MSFT,1986-03-13,2026-09-11,10203,updated,0
AAPL,1980-12-12,2026-09-11,11529,updated,0
CRM,2004-06-23,2026-09-11,5591,updated,0
CSCO,1990-02-16,2026-09-11,9207,updated,0
AMD,1980-03-17,2026-09-11,11717,updated,0
INTC,1980-03-17,2026-09-11,11717,updated,0
QCOM,1991-12-13,2026-09-11,8746,updated,0
IBM,1962-01-02,2026-09-11,16281,updated,0
JPM,1980-03-17,2026-09-11,11716,updated,0
TXN,1972-06-01,2026-09-11,13682,updated,0
GS,1999-05-04,2026-09-11,6881,updated,0
MS,1993-02-23,2026-09-11,8445,updated,0
BAC,1973-02-21,2026-09-11,13502,updated,0
WFC,1972-06-01,2026-09-11,13682,updated,0
C,1977-01-03,2026-09-11,12525,updated,0
BLK,1999-10-01,2026-09-11,6776,updated,0
SCHW,1987-09-22,2026-09-11,9816,updated,0
V,2008-03-19,2026-09-11,4649,updated,0
AXP,1972-06-01,2026-09-11,13682,updated,0
MA,2006-05-25,2026-09-11,5105,updated,0
BRK-B,1996-05-09,2026-09-11,7633,updated,0
ABBV,2013-01-02,2026-09-11,3443,updated,0
JNJ,1962-01-02,2026-09-11,16281,updated,0
UNH,1984-10-17,2026-09-11,10555,updated,0
PFE,1972-06-01,2026-09-11,13682,updated,0
LLY,1972-06-01,2026-09-11,13682,updated,0
TMO,1980-03-17,2026-09-11,11716,updated,0
ABT,1980-03-17,2026-09-11,11716,updated,0
MRK,1962-01-02,2026-09-11,16281,updated,0
BMY,1972-06-01,2026-09-11,13682,updated,0
GILD,1992-01-22,2026-09-11,8720,updated,0
AMGN,1983-06-17,2026-09-11,10893,updated,0
CVS,1973-02-21,2026-09-11,13502,updated,0
MDLZ,2001-06-13,2026-09-11,6348,updated,0
KO,1962-01-02,2026-09-11,16281,updated,0
COST,1986-07-09,2026-09-11,10121,updated,0
PG,1962-01-02,2026-09-11,16281,updated,0
PEP,1972-06-01,2026-09-11,13682,updated,0
CL,1973-05-02,2026-09-11,13453,updated,0
WMT,1972-08-25,2026-09-11,13623,updated,0
KMB,1980-03-17,2026-09-11,11716,updated,0
SBUX,1992-06-26,2026-09-11,8611,updated,0
HD,1981-09-22,2026-09-11,11333,updated,0
NKE,1980-12-02,2026-09-11,11537,updated,0
BKNG,1999-03-31,2026-09-11,6904,updated,0
MCD,1966-07-05,2026-09-11,15146,updated,0
LOW,1980-03-17,2026-09-11,11716,updated,0
TGT,1973-02-21,2026-09-11,13502,updated,0
TJX,1987-06-26,2026-09-11,9876,updated,0
ABNB,2020-12-10,2026-09-11,1443,updated,0
UBER,2019-05-10,2026-09-11,1844,updated,0
DIS,1962-01-02,2026-09-11,16281,updated,0
F,1972-06-01,2026-09-11,13683,updated,0
COP,1981-12-31,2026-09-11,11263,updated,0
CVX,1962-01-02,2026-09-11,16282,updated,0
SLB,1981-12-31,2026-09-11,11263,updated,0
PSX,2012-04-12,2026-09-11,3624,updated,0
XOM,1962-01-02,2026-09-11,16281,updated,0
EOG,1989-10-04,2026-09-11,9301,updated,0
OXY,1981-12-31,2026-09-11,11263,updated,0
BA,1962-01-02,2026-09-11,16281,updated,0
UPS,1999-11-10,2026-09-11,6748,updated,0
CAT,1962-01-02,2026-09-11,16281,updated,0
RTX,1962-04-02,2026-09-11,16218,updated,0
GE,1962-01-02,2026-09-11,16281,updated,0
HON,1962-01-02,2026-09-11,16281,updated,0
LMT,1962-01-02,2026-09-11,16280,updated,0
DE,1972-06-01,2026-09-11,13682,updated,0
TMUS,2007-04-19,2026-09-11,4881,updated,0
MMM,1962-01-02,2026-09-11,16281,updated,0
T,1983-11-21,2026-09-11,10784,updated,0
UNP,1980-01-02,2026-09-11,11768,updated,0
SNAP,2017-03-02,2026-09-11,2396,updated,0
NFLX,2002-05-23,2026-09-11,6115,updated,0
VZ,1983-11-21,2026-09-11,10784,updated,0
CMCSA,1980-03-17,2026-09-11,11716,updated,0
DUK,1980-03-17,2026-09-11,11716,updated,0
PLD,1997-11-21,2026-09-11,7243,updated,0
SO,1981-12-31,2026-09-11,11263,updated,0
QQQ,1999-03-10,2026-09-11,6920,updated,0
AMT,1998-02-27,2026-09-11,7178,updated,0
O,1994-10-18,2026-09-11,8027,updated,0
SPY,1993-01-29,2026-09-11,8462,updated,0
NEE,1973-02-21,2026-09-11,13503,updated,0
PLTR,2020-09-30,2026-09-11,1494,updated,0
RIVN,2021-11-10,2026-09-11,1213,updated,0
SNOW,2020-09-16,2026-09-11,1503,updated,0
TSLA,2010-06-29,2026-09-11,4076,updated,0
COIN,2021-04-14,2026-09-11,1360,updated,0
SHOP,2015-05-20,2026-09-11,2844,updated,0
DIA,1998-01-20,2026-09-11,7205,updated,0
VTI,2001-06-15,2026-09-11,6346,updated,0
IWM,2000-05-26,2026-09-11,6611,updated,0
